        Year	       Month	         Day	        Hour	     Weekday	      Minute	    N(total)	       N(he)	       N(li)	    N(st,he)	    N(st,li)	    N(wi,he)	    N(wi,li)	    N(su,he)	    N(su,li)	V_veh(he) (km/hr)	V_veh(li) (km/hr)	     T2m (C)	 Ts_road (C)	Ts_road_obs (C)	T_sub_mod (C)	      RH (%)	RHs_road (%)	    FF (m/s)	Rain (mm/hr)	Snow (mm/hr)	 Cloud cover	Net short rad (W/m^2)	Net long rad (W/m^2)	Incoming long rad (W/m^2)	Incoming short rad (W/m^2)	Sensible_road (W/m^2)	Latent_road (W/m^2)	Surface_heatflux_road (W/m^2)	Residual Energy (W/m^2)	Energy correction (W/m^2)	Wetness_road (mm)	Ice_road (mm)	Evaporation (mm/hr)	Drainage (mm/hr)	    f_q_road	   f_q_brake	     f_q_obs	M_sanding (g/m^2)	M_salting(na) (g/m^2)	M_salting(mg) (g/m^2)	Ploughing_road (0/1)	Cleaning_road (0/1)	Total emissions PM10 (g/km/hr)	Direct emissions PM10 (g/km/hr)	Suspended road emissions PM10 (g/km/hr)	Road dust PM200 mass (g/m^2)	Road sand PMall mass (g/m^2)	Road sand PM200 mass (g/m^2)	Road salt(na) mass (g/m^2)	Road salt(mg) mass (g/m^2)	Road wear (g/km/hr)	Tyre wear (g/km/hr)	Brake wear (g/km/hr)	Road dust production (g/km/hr)	Road dust sink (g/km/hr)	Emission factor PM10 (g/km/veh)	Total emissions PM2.5 (g/km/hr)	Direct emissions PM2.5 (g/km/hr)	Suspended road emissions PM2.5 (g/km/hr)	Emission factor PM2.5 (g/km/veh)	PM10_obs net (ug/m^3)	PM10_obs bg (ug/m^3)	PM10 mod total (ug/m^3)	PM10 mod total+ep (ug/m^3)	PM10 mod dust total (ug/m^3)	PM10 mod roadwear (ug/m^3)	PM10 mod tyrewear (ug/m^3)	PM10 mod brakewear (ug/m^3)	PM10 mod salt(na) (ug/m^3)	PM10 mod salt(mg) (ug/m^3)	PM10 mod sand (ug/m^3)	PM10 mod exhaust (ug/m^3)	PM25_obs net (ug/m^3)	PM25_obs bg (ug/m^3)	PM25 mod total (ug/m^3)	PM25 mod total+ep (ug/m^3)	PM25 mod dust total (ug/m^3)	PM25 mod roadwear (ug/m^3)	PM25 mod tyrewear (ug/m^3)	PM25 mod brakewear (ug/m^3)	PM25 mod salt(na) (ug/m^3)	PM25 mod salt(mg) (ug/m^3)	PM25 mod sand (ug/m^3)	PM25 mod exhaust (ug/m^3)
        2010	          11	           1	1.250000e+01	           2	           0	  1.1154e+03	  3.3461e+01	  1.0819e+03	  0.0000e+00	  2.0556e+02	  0.0000e+00	  3.8176e+02	  3.3461e+01	  4.9459e+02	  4.5640e+01	  4.5640e+01	  8.1711e+00	  7.3078e+00	  7.1754e+00	  6.9927e+00	  8.7054e+01	  9.6311e+01	  1.2701e+00	  0.0000e+00	  0.0000e+00	  4.5303e-01	  2.0489e+01	 -2.1030e+01	  3.1231e+02	  4.1966e+01	 -4.7320e+00	  3.2559e+00	  2.9614e+00	  0.0000e+00	  0.0000e+00	  4.2286e-02	  5.7108e-07	  4.1814e-03	  0.0000e+00	  5.2261e-01	  1.0000e+00	  4.5455e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1719e+01	  6.1801e+01	  2.0191e+01	  5.9184e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0849e+02	  7.6486e+01	  9.1459e+00	  2.6385e+02	  8.2188e+01	  9.1151e-02	  1.0825e+01	  8.0054e+00	  3.0932e+00	  2.7591e-02	  1.1382e+01	  1.4205e+01	  1.6015e+01	  2.0267e+01	  1.6015e+01	  1.3240e+01	  1.1417e+00	  1.6335e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.2523e+00	  6.6630e+00	  4.8388e+00	  2.1943e+00	  6.4466e+00	  2.1943e+00	  1.0592e+00	  1.1417e-01	  1.0209e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.2523e+00
        2010	          11	           2	1.150000e+01	           3	           0	  1.0402e+03	  3.1207e+01	  1.0090e+03	  0.0000e+00	  1.9172e+02	  0.0000e+00	  3.5604e+02	  3.1207e+01	  4.6127e+02	  4.6537e+01	  4.6537e+01	  6.6039e+00	  7.0857e+00	  6.2685e+00	  7.0589e+00	  8.5799e+01	  8.3005e+01	  1.7475e+00	  1.1667e-01	  0.0000e+00	  7.9377e-01	  1.2753e+01	 -8.7097e+00	  3.2343e+02	  1.7753e+01	  3.5541e+00	  3.9195e-01	  1.9311e+00	  0.0000e+00	  0.0000e+00	  8.2570e-02	  8.9732e-07	  1.4683e-03	  9.0797e-02	  8.7500e-01	  8.8122e-01	  7.0833e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1056e+02	  8.3677e+01	  2.7265e+01	  6.0084e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.9217e+02	  7.3431e+01	  8.4380e+00	  1.5446e+02	  1.3992e+02	  1.2429e-01	  1.2550e+01	  9.3157e+00	  3.6171e+00	  3.0073e-02	  8.8175e+00	  1.0456e+01	  1.6782e+01	  1.9327e+01	  1.6782e+01	  1.4579e+01	  1.2515e+00	  9.5155e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5448e+00	  3.9629e+00	  4.4919e+00	  1.8862e+00	  4.4310e+00	  1.8862e+00	  1.1663e+00	  1.2515e-01	  5.9472e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5448e+00
        2010	          11	           3	1.150000e+01	           4	           0	  1.0878e+03	  3.2633e+01	  1.0551e+03	  0.0000e+00	  2.0048e+02	  0.0000e+00	  3.7231e+02	  3.2633e+01	  4.8235e+02	  4.5835e+01	  4.5835e+01	  8.7431e+00	  8.0324e+00	  7.4930e+00	  7.3113e+00	  8.5423e+01	  9.9182e+01	  3.0176e+00	  1.1667e-01	  0.0000e+00	  9.6372e-01	  6.0603e+00	  1.0867e+01	  3.4754e+02	  7.2236e+00	 -1.1954e+01	  2.1345e+01	  9.4963e+00	  0.0000e+00	  0.0000e+00	  2.9765e-01	  8.7049e-07	  3.2410e-02	  9.2364e-02	  1.6069e-01	  6.4944e-01	  8.3333e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.2971e+01	  1.6802e+01	  6.2318e+00	  6.3343e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0158e+02	  7.5194e+01	  8.8934e+00	  4.3000e+02	  6.4017e+01	  3.8815e-02	  4.8678e+00	  3.5038e+00	  1.4270e+00	  2.2173e-02	  3.4735e+00	  7.8470e+00	  1.3604e+00	  2.7148e+00	  1.3604e+00	  8.8362e-01	  7.4599e-02	  4.0216e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.3545e+00	  2.2479e+00	  2.8288e+00	  3.2950e-01	  1.6840e+00	  3.2950e-01	  7.0690e-02	  7.4599e-03	  2.5135e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.3545e+00
        2010	          11	           4	1.150000e+01	           5	           0	  1.0814e+03	  3.2443e+01	  1.0490e+03	  0.0000e+00	  1.9931e+02	  0.0000e+00	  3.7014e+02	  3.2443e+01	  4.7953e+02	  4.6207e+01	  4.6207e+01	  7.1632e+00	  6.6339e+00	  5.9563e+00	  7.3548e+00	  6.9773e+01	  7.2535e+01	  2.9903e+00	  0.0000e+00	  0.0000e+00	  8.6626e-02	  1.2293e+01	 -3.5623e+01	  2.9469e+02	  5.7921e+01	 -7.5956e+00	  5.7656e-02	 -1.3868e+01	  0.0000e+00	  0.0000e+00	  6.4510e-03	  6.6274e-07	  1.8994e-04	  0.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.3070e+02	  9.6130e+01	  3.5009e+01	  6.6457e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0553e+02	  7.5933e+01	  8.7898e+00	  1.2295e+02	  1.4370e+02	  1.3891e-01	  1.4699e+01	  1.0679e+01	  4.4640e+00	  3.1643e-02	  3.0786e+01	  1.0591e+01	  1.8437e+01	  2.1210e+01	  1.8437e+01	  1.6033e+01	  1.3475e+00	  1.0565e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.7734e+00	  5.7050e+00	  3.1195e+00	  2.0777e+00	  4.8511e+00	  2.0777e+00	  1.2826e+00	  1.3475e-01	  6.6031e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.7734e+00
        2010	          11	           5	1.150000e+01	           6	           0	  1.0745e+03	  3.2234e+01	  1.0422e+03	  0.0000e+00	  1.9803e+02	  0.0000e+00	  3.6776e+02	  3.2234e+01	  4.7645e+02	  4.6916e+01	  4.6916e+01	  4.0177e+00	  4.7008e+00	  3.3612e+00	  6.6459e+00	  7.8244e+01	  7.4060e+01	  1.7899e+00	  0.0000e+00	  0.0000e+00	  3.0899e-01	  1.6414e+01	 -3.7010e+01	  2.8421e+02	  4.2908e+01	  8.1066e+00	 -1.0201e-02	 -2.6832e+01	  0.0000e+00	  0.0000e+00	  6.8809e-03	  6.7001e-07	  1.6575e-04	  0.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.3272e+02	  9.7642e+01	  3.5526e+01	  6.6103e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1264e+02	  7.7264e+01	  8.6538e+00	  1.2503e+02	  1.4545e+02	  1.4158e-01	  1.4831e+01	  1.0757e+01	  4.5225e+00	  3.1860e-02	  4.0937e+01	  1.1333e+01	  3.1239e+01	  3.5824e+01	  3.1239e+01	  2.7224e+01	  2.2718e+00	  1.7430e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.5846e+00	  6.2535e+00	  3.7962e+00	  3.4945e+00	  8.0791e+00	  3.4945e+00	  2.1779e+00	  2.2718e-01	  1.0894e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.5846e+00
        2010	          11	           6	1.150000e+01	           7	           0	  8.7853e+02	  2.6356e+01	  8.5218e+02	  0.0000e+00	  1.6191e+02	  0.0000e+00	  3.0070e+02	  2.6356e+01	  3.8957e+02	  4.7801e+01	  4.7801e+01	  2.4538e+00	  2.8779e+00	  1.7948e+00	  5.5012e+00	  7.4078e+01	  7.1905e+01	  1.5139e+00	  0.0000e+00	  0.0000e+00	  7.2058e-03	  9.8991e+00	 -4.1975e+01	  2.7089e+02	  5.8035e+01	  4.1090e+00	  4.4615e-02	 -3.4754e+01	  0.0000e+00	  0.0000e+00	  6.3939e-03	  6.0587e-07	  1.5439e-04	  0.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1168e+02	  8.2168e+01	  2.9887e+01	  6.5781e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.4803e+02	  6.5167e+01	  6.9885e+00	  1.0536e+02	  1.2208e+02	  1.4519e-01	  1.2377e+01	  8.9564e+00	  3.7976e+00	  3.2157e-02	  3.2198e+01	  8.3220e+00	  1.7889e+01	  2.0433e+01	  1.7889e+01	  1.5629e+01	  1.2949e+00	  9.6485e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5438e+00	  4.0914e+00	  3.7978e+00	  1.9829e+00	  4.5267e+00	  1.9829e+00	  1.2503e+00	  1.2949e-01	  6.0303e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5438e+00
        2010	          11	           7	1.150000e+01	           1	           0	  8.2479e+02	  2.4744e+01	  8.0005e+02	  0.0000e+00	  1.5201e+02	  0.0000e+00	  2.8230e+02	  2.4744e+01	  3.6574e+02	  4.8197e+01	  4.8197e+01	  9.5682e-01	  1.3668e+00	  1.9127e-01	  4.1234e+00	  7.1859e+01	  6.8984e+01	  1.4120e+00	  0.0000e+00	  0.0000e+00	  9.7536e-03	  9.8886e+00	 -4.2835e+01	  2.6321e+02	  5.5989e+01	  4.0113e+00	 -2.3207e-02	 -3.5565e+01	  0.0000e+00	  0.0000e+00	  5.9365e-03	  6.3880e-07	  9.1704e-05	  0.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0585e+02	  7.7909e+01	  2.8296e+01	  6.5499e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.3025e+02	  6.1836e+01	  6.5323e+00	  9.9951e+01	  1.1536e+02	  1.4641e-01	  1.1695e+01	  8.4615e+00	  3.5890e+00	  3.2250e-02	  3.0279e+01	  1.0751e+01	  2.0295e+01	  2.3172e+01	  2.0295e+01	  1.7746e+01	  1.4610e+00	  1.0885e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8764e+00	  3.6646e+00	  4.5694e+00	  2.2461e+00	  5.1225e+00	  2.2461e+00	  1.4196e+00	  1.4610e-01	  6.8033e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8764e+00
        2010	          11	           8	1.150000e+01	           2	           0	  9.2063e+02	  2.7619e+01	  8.9301e+02	  0.0000e+00	  1.7847e+02	  0.0000e+00	  3.3144e+02	  2.7619e+01	  3.8310e+02	  4.6818e+01	  4.6818e+01	  6.9242e-02	  2.0683e-01	 -9.5153e-01	  2.7541e+00	  7.1601e+01	  7.0477e+01	  1.2602e+00	  0.0000e+00	  0.0000e+00	  2.0363e-02	  9.3813e+00	 -4.1717e+01	  2.5906e+02	  5.5184e+01	 -5.1406e-01	 -1.3985e-03	 -3.0205e+01	  0.0000e+00	  0.0000e+00	  3.6608e-03	  2.5861e-03	  6.1772e-05	  0.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1572e+02	  8.6159e+01	  2.9937e+01	  6.5273e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.6561e+02	  6.5525e+01	  7.4444e+00	  1.0998e+02	  1.2180e+02	  1.4375e-01	  1.2841e+01	  9.4253e+00	  3.7908e+00	  3.1996e-02	  4.9710e+01	  1.6192e+01	  3.9853e+01	  4.5485e+01	  3.9853e+01	  3.4953e+01	  2.7718e+00	  2.1287e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.6318e+00	  8.6730e+00	  4.6991e+00	  4.4038e+00	  1.0036e+01	  4.4038e+00	  2.7962e+00	  2.7718e-01	  1.3304e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.6318e+00
        2010	          11	           9	1.150000e+01	           3	           0	  8.2986e+02	  2.4896e+01	  8.0496e+02	  0.0000e+00	  1.6099e+02	  0.0000e+00	  2.9899e+02	  2.4896e+01	  3.4498e+02	  4.6690e+01	  4.6690e+01	  1.8811e+00	  1.9445e+00	  8.2860e-01	  2.1903e+00	  8.4707e+01	  8.7608e+01	  3.9626e+00	  3.2500e-01	  0.0000e+00	  9.6756e-01	  4.5162e+00	  6.5631e+00	  3.1496e+02	  5.3132e+00	  3.4641e+00	  9.8435e+00	 -7.7758e-01	  0.0000e+00	  0.0000e+00	  3.1366e-01	  9.7502e-07	  1.8074e-02	  2.8015e-01	  4.5833e-01	  5.0208e-01	  3.3333e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.4135e+01	  2.5395e+01	  8.8490e+00	  6.6396e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.3006e+02	  5.9109e+01	  6.7084e+00	  2.9967e+02	  1.1025e+02	  5.8905e-02	  3.9253e+00	  2.8674e+00	  1.1674e+00	  2.2502e-02	  1.4282e+01	  5.6725e+00	  3.9177e+00	  5.7693e+00	  3.9177e+00	  3.4060e+00	  2.6861e-01	  2.4311e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.8516e+00	  3.7120e+00	  2.0875e+00	  4.5129e-01	  2.3029e+00	  4.5129e-01	  2.7248e-01	  2.6861e-02	  1.5194e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.8516e+00
        2010	          11	          10	1.150000e+01	           4	           0	  8.7219e+02	  2.6166e+01	  8.4603e+02	  0.0000e+00	  1.6921e+02	  0.0000e+00	  3.1424e+02	  2.6166e+01	  3.6258e+02	  4.6361e+01	  4.6361e+01	  1.5595e+00	  1.6013e+00	  1.5438e+00	  2.0152e+00	  9.1365e+01	  9.9738e+01	  1.6338e+00	  8.3333e-03	  0.0000e+00	  7.8277e-01	  1.0716e+01	 -8.8158e+00	  2.9822e+02	  1.5227e+01	  7.9169e-01	  9.2477e+00	 -6.6117e+00	  0.0000e+00	  0.0000e+00	  2.6759e-01	  5.7081e-07	  1.2118e-02	  5.7046e-03	  1.7071e-01	  6.7549e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.2482e+01	  1.6119e+01	  6.4208e+00	  7.0995e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.4590e+02	  6.1946e+01	  7.0584e+00	  3.6133e+02	  4.8124e+01	  4.3483e-02	  4.6474e+00	  3.3004e+00	  1.4048e+00	  2.3035e-02	  7.0506e+00	  4.5328e+00	  5.5786e+00	  8.5022e+00	  5.5786e+00	  4.2580e+00	  3.3150e-01	  9.8910e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.9237e+00	  4.3832e+00	  2.3664e+00	  9.9198e-01	  3.9157e+00	  9.9198e-01	  3.4064e-01	  3.3150e-02	  6.1819e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.9237e+00
